NAICS,Year,Labor Productivity,Real Sectoral Output,Unit Labor Costs,Output Per Worker,Employment,Hourly Compensation,Sectoral Ouput Price Deflator
21,2018,102.124,112.051,97.783,103.612,108.145,99.859,116.187
21,2019,109.393,121.537,94.17,112.075,108.443,103.016,104.955
21,2020,133.689,113.271,82.853,128.122,88.409,110.765,79.678
21,2021,140.175,114.581,77.791,138.749,82.581,109.044,131.254
21,2022,130.471,120.034,86.832,133.316,90.038,113.29,189.273
21,2023,131.766,127.055,89.22,133.65,95.066,117.562,134.115
211,2018,117.668,115.712,87.5,117.253,98.686,102.96,120.246
211,2019,125.888,129.433,83.191,129.433,100,104.728,105.649
211,2020,139.571,122.267,81.041,133.735,91.425,113.109,73.806
211,2021,162.198,122.571,69.257,157.125,78.008,112.334,134.932
211,2022,152.197,129.517,73.239,157.512,82.227,111.467,203.218
211,2023,161.02,139.137,72.057,169.925,81.881,116.027,133.039
311,2018,99.385,101.479,100.463,100.025,101.454,99.845,100.082
311,2019,99.257,101.909,102.474,99.523,102.397,101.712,101.343
311,2020,101.519,102.924,107.441,102.03,100.876,109.074,102.314
311,2021,99.956,104.227,112.067,101.866,102.318,112.017,111.229
311,2022,97.995,103.354,122.575,97.287,106.236,120.118,125.446
311,2023,96.833,101.542,131.349,93.808,108.244,127.188,126.994
315,2018,99.861,95.526,100.245,101.98,93.672,100.106,101.427
315,2019,105.87,97.102,95.855,107.374,90.434,101.482,103.694
315,2020,110.955,82.771,95.914,109.103,75.865,106.421,104.337
315,2021,122.311,90.888,95.21,123.517,73.584,116.452,105.812
315,2022,104.025,86.852,109.95,100.027,86.829,114.375,111.237
315,2023,110.789,83.389,113.358,105.126,79.323,125.589,114.276
445,2018,102.443,102.046,99.175,102.957,99.116,101.598,100.814
445,2019,105.302,104.385,99.893,105.608,98.842,105.19,101.789
445,2020,110.234,111.313,103.089,111.601,99.742,113.639,104.717
445,2021,112.767,112.848,104.393,112.03,100.73,117.721,108.293
445,2022,110.192,110.782,111.854,109.959,100.749,123.253,118.547
445,2023,109.742,109.37,119.385,106.609,102.59,131.016,123.603
493,2018,91.007,100.905,111.383,91.649,110.099,101.366,103.754
493,2019,90.228,104.721,119.302,87.728,119.37,107.643,103.607
493,2020,83.097,107.065,142.105,78.351,136.648,118.086,103.52
493,2021,73.817,116.427,156.595,70.839,164.354,115.594,110.034
493,2022,65.382,114.328,183.901,61.942,184.572,120.238,125.805
493,2023,62.737,105.22,208.53,59.927,175.581,130.825,138.108
722,2018,101.312,102.821,101.242,101.435,101.366,102.571,102.656
722,2019,103.276,105.627,102.442,102.68,102.871,105.797,105.558
722,2020,105.749,86.484,101.25,102.419,84.441,107.07,109.178
722,2021,116.854,106.107,103.193,116.55,91.04,120.585,114.921
722,2022,117.424,114.68,111.241,114.58,100.087,130.623,123.394
722,2023,118.236,119.613,115.931,114.86,104.138,137.072,132.056
3331,2018,108.34,113.464,94.346,107.229,105.814,102.215,101.197
3331,2019,109.941,112.104,97.599,104.367,107.413,107.302,104.565
3331,2020,104.267,94.364,109.192,96.563,97.723,113.851,105.897
3331,2021,118.166,107.194,100.039,112.138,95.591,118.212,110.476
3331,2022,122.753,122.912,100.356,116.962,105.087,123.19,123.185
3331,2023,114.763,116.622,116.568,107.844,108.14,133.778,132.301
5112,2018,99.542,107.331,106.221,98.029,109.489,105.735,99.809
5112,2019,97.373,115.664,111.025,94.691,122.149,108.108,99.868
5112,2020,97.302,126.51,117.631,95.345,132.687,114.458,101.064
5112,2021,99.822,141.463,129.91,96.509,146.579,129.68,101.482
5112,2022,100.146,163.057,117.944,97.061,167.995,118.116,100.688
5112,2023,100.495,171.275,122.205,99.243,172.582,122.81,104.81
5173,2018,109.691,101.809,95.049,107.242,94.934,104.26,99.43
5173,2019,119.386,102.498,92.974,114.721,89.345,110.998,100.184
5173,2020,124.668,102.091,95.154,119.411,85.496,118.627,100.21
5173,2021,125.755,105.771,90.788,127.622,82.878,114.17,100.8
5173,2022,130.779,106.053,89.032,129.421,81.944,116.435,102.176
5173,2023,128.479,100.465,96.106,125.661,79.949,123.475,106.047
5412,2018,99.609,101.108,103.595,100.244,100.861,103.19,102.42
5412,2019,99.92,103.904,104.972,100.766,103.114,104.888,105.467
5412,2020,106.021,105.308,102.867,105.75,99.582,109.061,106.579
5412,2021,107.354,110.617,106.629,106.906,103.471,114.47,109.725
5412,2022,104.582,114.991,114.284,103.861,110.717,119.52,113.962
5412,2023,104.477,116.72,118.24,103.399,112.883,123.534,120.221
5615,2018,112.78,109.44,92.608,109.574,99.878,104.444,101.255
5615,2019,118.233,115.431,91.633,114.267,101.019,108.34,103.39
5615,2020,92.969,65.496,119.975,85.267,76.813,111.539,94.794
5615,2021,138.811,85.517,93.658,128.118,66.748,130.007,98.054
5615,2022,163.071,125.811,92.446,152.389,82.559,150.753,102.115
5615,2023,155.322,142.946,102.675,150.424,95.029,159.477,106.347
52211,2018,99.666,101.334,102.673,100.865,100.465,102.329,108.941
52211,2019,100.26,102.214,104.512,100.908,101.295,104.783,108.69
52211,2020,96.158,98.336,115.534,97.394,100.967,111.095,104.92
52211,2021,106.939,106.858,112.978,107.539,99.367,120.818,102.832
52211,2022,99.257,98.233,127.99,98.255,99.978,127.039,114.158
52211,2023,104.986,104.742,126.798,103.411,101.287,133.121,126.658
54131,2018,106.037,106.728,96.412,105.513,101.152,102.232,100.094
54131,2019,111.019,114.235,94.454,110.369,103.503,104.861,99.378
54131,2020,114.538,111.336,94.782,112.143,99.28,108.562,99.168
54131,2021,127.141,120.956,89.62,123.263,98.129,113.944,100.954
54131,2022,128.285,129.607,92.555,124.299,104.271,118.734,104.199
54133,2018,100.359,102.42,102.234,100.391,102.022,102.601,102.506
54133,2019,100.811,105.912,103.352,100.561,105.321,104.19,105.239
54133,2020,100.945,103.55,108.365,98.553,105.07,109.388,105.592
54133,2021,101.626,106.953,109.834,99.983,106.971,111.62,108.332
54133,2022,102.343,113.242,112.859,100.8,112.343,115.503,113.622
54133,2023,102.644,117.838,117.575,100.682,117.041,120.684,117.629
54181,2018,101.745,108.214,95.611,103.443,104.612,97.28,100.139
54181,2019,103.324,109.319,95.362,104.912,104.201,98.532,100.879
54181,2020,112.979,110.109,90.916,113.691,96.849,102.716,99.131
54181,2021,123.722,121.536,91.671,121.48,100.046,113.417,99.362
54181,2022,114.677,129.145,100.491,114.459,112.831,115.241,106.472
56131,2018,114.411,115.315,89.483,116.12,99.307,102.378,100.383
56131,2019,123.831,122.782,86.354,124.052,98.977,106.933,100.388
56131,2020,130.74,121.715,83.481,139.544,87.224,109.143,102.021
56131,2021,178.454,189.175,68.578,189.237,99.967,122.38,104.287
56131,2022,162.839,187.86,87.788,168.252,111.654,142.953,109.316
56172,2018,117.017,113.702,86.832,118.883,95.642,101.608,100.395
56172,2019,124.778,120.575,83.74,128.408,93.9,104.489,101.045
56172,2020,134.667,121.958,84.722,134.651,90.573,114.093,101.565
56172,2021,130.071,129.91,90.323,135.327,95.997,117.485,103.438
56172,2022,141.999,135.973,90.167,149.225,91.12,128.035,110.866
